2018-11-05 16:47:29,b'The bad guys need to get lucky every time. The good guys just need to get lucky once. #Thoughtful #Narcos\n\xf0\x9f\x98\x8a'
2018-11-05 14:01:06,b'Only 10 more days before Narcos - Season 4 (Mexico) #Narcos\n        \n\xf0\x9f\x91\x87\xf0\x9f\x91\x87 Visit the website to see the LIVE countdown\xe2\x80\xa6 https://t.co/kEYt8bsdud'
2018-11-05 13:13:48,"b'RT @xAlab30x: ""Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o\xe2\x80\xa6'"
2018-11-05 13:09:40,"b""I've just watched episode S02E06 of Narcos! #narcos #tvtime https://t.co/AgWJffRQK4"""
2018-11-05 13:09:07,"b""I've just watched episode S02E05 of Narcos! #narcos #tvtime https://t.co/LWhPTCB3j0"""
2018-11-05 12:26:42,"b'RT @xAlab30x: ""Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o\xe2\x80\xa6'"
2018-11-05 12:15:54,"b'RT @xAlab30x: ""Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o\xe2\x80\xa6'"
2018-11-05 12:05:05,b'The Rise and Fall of the Cali Cartel by Ron Chepesuik are the subject of the #netflix series #narcos 3. It is the f\xe2\x80\xa6 https://t.co/vEgpnHqkzK'
2018-11-05 11:46:44,b'Directly into my top 5 favorite series \xf0\x9f\x98\x8c \n\n#Narcos \xf0\x9f\x94\xa5 https://t.co/wqXOMYksMW'
2018-11-05 10:00:56,"b'@Netflix seems to have the #LGBT agenda at the core of their programming.\n\nMy favourite shows, #Spartacus, #Narcos\xe2\x80\xa6 https://t.co/7hT3ZIVY7r'"
2018-11-05 09:50:31,b'pop art of @WagnerMouraReal \n#graffiti #characterdesign #graffiti #graffitiart #graffitilove #graffitiporn #artist\xe2\x80\xa6 https://t.co/eDGMAZ2Hq0'
2018-11-05 08:53:11,"b'RT @xAlab30x: ""Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o\xe2\x80\xa6'"
2018-11-05 08:41:12,b'#Narcos Donald Trump\xe2\x80\x99s Wall \xe2\x80\x98Is Not Going to Stop Anything\nhttps://t.co/MiQt7nTMZw\n\nvia @GoogleNews'
2018-11-05 08:37:13,"b""I've just watched episode S01E03 of Narcos! #narcos  #tvtime https://t.co/QVmYBxSRFE"""
2018-11-05 08:08:56,b'The art of tummy rubbing\n\n#illustration #narcos #photoshop #pabloescobar https://t.co/9yf1eOGydY'
2018-11-05 05:39:09,"b'#RobinWright takes over #HouseOfCards and Michael Pe\xc3\xb1a comes to #Narcos, only on Netflix this November.\xe2\x80\xa6 https://t.co/JCDZmmC2Lx'"
